Date,CPI,b_trade,xchange_rate
2009-09-01,172.9806,1232.826124,1.8198
2009-11-01,186.1830725,490.006507999999,1.726
2009-12-01,186.40105499999999,2116.24922700001,1.7507
2010-01-01,184.3183575,678.393250827501,1.7328999999999999
2010-02-01,180.740925,259.791105665001,1.8402
2010-03-01,184.90413,545.257852730003,1.7858
2010-04-01,190.9920125,1139.0730622,1.7576
2010-05-01,186.3528775,3288.44246939,1.8132
2010-06-01,180.28462,2104.205807485,1.8059
2010-07-01,188.77623499999999,1208.176361535,1.7696
2010-08-01,195.89437250000003,2265.421730965,1.7596
2010-09-01,206.22761,935.93741291,1.7187
2010-11-01,234.7915175,122.734087665001,1.71333
2010-12-01,249.398855,5132.11099385,1.693418182
2011-01-01,263.76869,1177.3228654575,1.7237
2011-02-01,271.73636,986.252439749998,1.668
2011-03-01,271.380515,1361.529710105,1.6591
2011-04-01,282.45964000000004,1633.487863355,1.586447368
2011-05-01,274.901485,3318.45266179,1.613490909
2011-06-01,273.67576,4263.71337831999,1.587042857
2011-07-01,272.2310125,2968.34533854,1.5639
2011-08-01,273.2776675,3710.33599497499,1.597
2011-09-01,265.97787,2899.26527714,1.7498
2011-11-01,248.7017275,372.223729824997,1.79049
2011-12-01,243.1058575,3656.82207842,1.8369
2012-01-01,253.07299999999998,-100.23201268749995,1.9097636365
2012-02-01,261.9696425,1513.101796605,1.718394737
2012-03-01,272.29971750000004,1811.293580695,1.795309091
2012-04-01,277.3751075,666.857372724993,1.8548
2012-05-01,270.36266250000006,2771.89212285,1.985990909
2012-06-01,266.04064,610.138897684999,2.049195
2012-07-01,304.94091000000003,2682.06248483,2.028736364
2012-08-01,310.97382749999997,3018.875280005,2.029443478
2012-09-01,305.634285,2362.93758261501,2.028078947
2012-11-01,286.97356749999994,-375.146710595,2.06775
2012-12-01,285.142515,2046.84111304001,2.077835
2013-01-01,282.486695,-2293.31206947,2.1098625495
2013-02-01,285.22521,-1440.565062655,1.97325
2013-03-01,285.069,15.4117753049941,1.98284
2013-04-01,272.019325,-1161.15317934001,2.002213636
2013-05-01,279.1445475,593.794819399998,2.034842857
2013-06-01,282.8393625,2126.886544765,2.172955
2013-07-01,277.3227875,-2072.54279787,2.252169565
2013-08-01,254.36003499999998,1025.861855455,2.342190909
2013-09-01,248.78329000000002,1794.36615451,2.270509524
2013-11-01,240.460335,1533.31534052,2.29535
2013-12-01,244.4521,2540.22591594,2.345485714
2014-01-01,241.13747750000002,-2681.88042739,2.4152349805
2014-02-01,250.3347125,-2344.032622815,2.38368
2014-03-01,261.604025,-139.963141294997,2.326089474
2014-04-01,266.4613975,285.284861460004,2.23277
2014-05-01,265.83534499999996,423.935274595005,2.220880952
2014-06-01,259.992515,2122.517257105,2.23547
2014-07-01,244.621105,1291.14159003001,2.224647826
2014-08-01,242.1083525,903.239261205003,2.265647619
2014-09-01,225.02864,-1145.072042375,2.332868182
2014-11-01,224.1430575,-2707.1715638,2.548365
2014-12-01,214.4261425,-65.0617952550019,2.639363636
2015-01-01,205.4926575,-600.7347991475,3.257183333
2015-02-01,200.84586000000002,-3097.667051575,2.81645
2015-03-01,198.63984499999998,148.931628390001,3.139477273
2015-04-01,200.2638225,272.625016370001,3.04322
2015-05-01,195.02526,2449.921635915,3.061715
2015-06-01,194.524415,4309.85406258001,3.111738095
2015-07-01,202.76018499999998,2625.708449905,3.223143478
2015-08-01,191.976405,2366.025004465,3.514304762
2015-09-01,184.57129250000003,2624.092694585,3.906457143
2015-11-01,176.33467000000002,898.91907503,3.77646
2015-12-01,172.7787375,6048.010731155,3.871136364
2016-01-01,168.4509675,1577.7896148625,3.619075
2016-02-01,170.60670249999998,2777.916807225,3.973742105
2016-03-01,175.01806000000002,4123.33375331,3.703918182
2016-04-01,184.1003375,4542.32074391,3.565845
2016-05-01,195.8194375,6127.071843435,3.539290476
2016-06-01,207.73114,3631.550293235,3.424477273
2016-07-01,196.152365,4245.14973648,3.275310526
2016-08-01,187.84959500000002,3830.905608135,3.20966087
2016-09-01,183.17952250000002,3522.71121736,3.256371429
2016-11-01,187.0812775,4448.44692212,3.342
2016-12-01,188.7666825,4139.169196535,3.35226818181818
2017-01-01,192.58052250000003,3277.531995155,3.19391883116883
2017-02-01,195.7622075,4368.162576625,3.10419444444444
2017-03-01,191.56531999999999,6418.56979422,3.12793043478261
2017-04-01,187.46139749999998,6125.68372486,3.13617222222222
2017-05-01,189.804,6712.083718255,3.20950909090909
2017-06-01,187.5650225,6268.779029695,3.29536666666667
2017-07-01,194.097935,5383.90639656,3.2061380952381
2017-08-01,183.26985000000002,4547.91016197501,3.15091739130435
2017-09-01,185.73465000000002,4301.356317655,3.13479
2017-11-01,190.0979,2576.274421725,3.25938
2017-12-01,187.924285,4141.05462117,3.291915
2018-01-01,191.74885,3152.5001546975,3.48450909090909
2018-02-01,198.259095,2021.507390605,3.2415
2018-03-01,203.10652499999998,5419.413017635,3.27921428571429
2018-04-01,204.16253749999998,4586.2370542,3.40749523809524
2018-05-01,203.91609749999998,5039.52741874,3.63605714285714
2018-06-01,190.7440075,4675.13167552,3.77317142857143
2018-07-01,181.2510825,2717.019363215,3.82876363636364
2018-08-01,182.6542875,1414.91476446,3.92975652173913
2018-09-01,178.23224,3949.368320555,4.11654736842105
2018-11-01,179.13753499999999,2822.715297045,3.786665
2018-12-01,183.83527750000002,5397.556699785,3.88278181818182
2019-01-01,185.83925250000001,575.2891775724986,3.9143343873517797
2019-02-01,188.51716249999998,1818.99998425,3.723625
2019-03-01,188.48418249999997,2994.80184746501,3.84648421052632
2019-04-01,190.74130250000002,4139.708280175,3.89615714285714
2019-05-01,185.85399999999998,4112.155442835,4.00151818181818
